sku,name,base_item,sku_family,type,visibility,visibility_def,simples_skus,packaging_type_rank,packaging_type,package_count,package_piececount,version_number,overall_status_rank,overall_status,specific_status_rank,specific_status,lead_style,product_type,description,frequency_hertz,price,price_piece,min_order_qty,version_description,starting_method,lamp_connection,ballast_factor,lamp_combinations,number_of_lamps,lamp_type,rohs_compliant,energy_star,input_power,input_type,max_voltage_combinations,power_factor,power_factor_value,line_voltage,line_current,min_start_temp,sound_rating,dimming_status,standards,approvals,ul_temp_code,product_patent,length_inches,width_inches,height_inches,mounting,remote_mounting,weight,sku_length,sku_height,sku_width,sku_weight,lamps,successor_item,successor_base_item,successor_item_sku_family,substitute_item,substitute_base_item,substitute_item_product_type,substitute_item_overall_status,substitute_item_specific_status,substitute_item_sku_family,substitute_item_item_lead_style,competitor_cross,external_product_id,case_style,eol
013B1P,013B1P,013B1P,NA,configurable,4, Both ,"2M10017, 3M10017",,,,,,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF, Automatic reset thermal protector",60,$15.95, $ -   ,,Leads one end,Preheat ,Series, 0.90 ,1,  1 , CFL  , Yes , No ,  16 , Single ,120,Normal,  0.50 , 120 Â±10% ,  0 ,  -   ,  -   ,N,  -   ,"  UL/935 , CSA/C22.2 Certified ",  -   ,  -   ,2.50,1.28,1.38,  -   ,  -   ,0.44,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""LO1322TP""]",,,
013B1P/B,013B1P /B,013B1P,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF, Automatic reset thermal protector",60,, $ -   ,,,Preheat ,Series,,1,  1 , CFL  , Yes , No ,  -   , Single ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,1G,
013B1P/C,013B1P /C,013B1P,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF, Automatic reset thermal protector",60,, $ -   ,,,Preheat ,Series,,1,  1 , CFL  , Yes , No ,  -   , Single ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,1G,
013B1P/D,013B1P /D,013B1P,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF, Automatic reset thermal protector",60,, $ -   ,,,Preheat ,Series,,1,  1 , CFL  , Yes , No ,, Single ,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1P/E,013B1P /E,013B1P,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF, Automatic reset thermal protector",60,, $ -   ,,,Preheat ,Series,,1,  1 , CFL  , Yes , No ,, Single ,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1P/F,013B1P /F,013B1P,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF, Automatic reset thermal protector",60,, $ -   ,,,Preheat ,Series,,1,  1 , CFL  , Yes , No ,  -   , Single ,120,Normal,,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,  -   ,  -   ,,,,  -   ,  -   ,,,,,,,,,,,,,,,,,,,1G,
2M10017,013B1P /A,013B1P,M10017,simple,3, Searchable ,,  4 ,2,10W,10,1,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF, Automatic reset thermal protector",60,$139.95, $ 14.00 ,,Leads one end,Preheat ,Series, 0.90 ,1,  1 , CFL  , Yes , No ,  16 , Single ,120,Normal,  0.50 , 120 Â±10% ,  0 ,  -   ,  -   ,N,  -   ,"  UL/935 , CSA/C22.2 Certified ",  -   ,  -   ,2.50,1.28,1.38,  -   ,  -   ,0.44,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""LO1322TP""]",734832005130,1G,
3M10017,013B1P /A,013B1P,M10017,simple,3, Searchable ,,  5 ,3,1W,1,1,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF, Automatic reset thermal protector",60,$15.95, $ 15.95 ,,Leads one end,Preheat ,Series, 0.90 ,1,  1 , CFL  , Yes , No ,  16 , Single ,120,Normal,  0.50 , 120 Â±10% ,  0 ,  -   ,  -   ,N,  -   ,"  UL/935 , CSA/C22.2 Certified ",  -   ,  -   ,2.50,1.28,1.38,  -   ,  -   ,0.44,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""LO1322TP""]",734832005147,1G,
013B1PLA,013B1PLA,013B1PLA,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"BALLAST,NPF,120/60 (1) CFT13W/GX23, CFQ13W/GX23 ",60,, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1PLA/A,013B1PLA /A,013B1PLA,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"BALLAST,NPF,120/60 (1) CFT13W/GX23, CFQ13W/GX23 ",60,, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1PLA/B,013B1PLA /B,013B1PLA,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"BALLAST,NPF,120/60 (1) CFT13W/GX23, CFQ13W/GX23 ",60,, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1PLH/A,013B1PLH /A,013B1PLH,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"BALLAST,NPF,120/60 (1) CFT13W/GX23, CFQ13W/GX23 ",60,, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1PNF/A,013B1PNF /A,013B1PNF,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"BALLAST,NPF,120/60(1) CFT13W/GX23, CFQ13W/GX23   ",60,, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1RC,013B1RC,013B1RC,NA,configurable,4, Both ,"2M10018, 3M10018, 5M10018",,,,,,,,,,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,, $ -   ,,,Preheat ,Series, 0.90 ,1,  1 , CFL , Yes , No ,  -   , Single ,120,Normal,,  -   ,  -   ,  -   ,  -   ,N,  -   ,  -   ,  -   ,  -   ,2.50,1.28,1.38,  -   ,  -   ,0.44,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""LO1322TP""]",,,
013B1RC/B,013B1RC /B,013B1RC,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"Fluorescent, mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,, $ -   ,,,Preheat ,Series,,1,  1 , CFL , Yes , No ,  -   , Single ,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1RC/C,013B1RC /C,013B1RC,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"Fluorescent, mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,, $ -   ,,,Preheat ,Series,,1,  1 , CFL , Yes , No ,  -   , Single ,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1RC/D,013B1RC /D,013B1RC,NA,simple,3, Searchable ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"Fluorescent, mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,, $ -   ,,,Preheat ,Series,,1,  1 , CFL , Yes , No ,  -   , Single ,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2M10018,013B1RC /A,013B1RC,M10018,simple,3, Searchable ,,  4 ,2,10W,10,1,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,$156.95, $ 15.70 ,,,Preheat ,Series, 0.90 ,1,  1 , CFL , Yes , No ,  -   , Single ,120,Normal,,  -   ,  -   ,  -   ,  -   ,N,  -   ,"  UL/935 , CSA/C22.2 Certified ",  -   ,  -   ,2.50,1.28,1.38,  -   ,  -   ,0.44,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""LO1322TP""]",734832005161,1G,
3M10018,013B1RC /A,013B1RC,M10018,simple,3, Searchable ,,  5 ,3,1W,1,1,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,$17.95, $ 17.95 ,,,Preheat ,Series, 0.90 ,1,  1 , CFL , Yes , No ,  -   , Single ,120,Normal,,  -   ,  -   ,  -   ,  -   ,N,  -   ,"  UL/935 , CSA/C22.2 Certified ",  -   ,  -   ,2.50,1.28,1.38,  -   ,  -   ,0.44,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""LO1322TP""]",734832005178,1G,
5M10018,013B1RC /A,013B1RC,M10018,simple,3, Searchable ,,  2 ,5,10,10,1,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,$145.95, $ 14.60 ,,,Preheat ,Series, 0.90 ,1,  1 , CFL , Yes , No ,  -   , Single ,120,Normal,,  -   ,  -   ,  -   ,  -   ,N,  -   ,"  UL/935 , CSA/C22.2 Certified ",  -   ,  -   ,2.50,1.28,1.38,  -   ,  -   ,0.44,,,,,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,"[""LO1322TP""]",,1G,
013B1RCLA/A,013B1RCLA /A,013B1RCLA,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"BALLAST,NPF,120/60 (1) CFT13W/GX23, CFQ13W/GX23 ",60,, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1RCLH/A,013B1RCLH /A,013B1RCLH,NA,simple,4, Both ,,,,,,,2,Discontinued,4,Unavailable,Leaded,Magnetic,"BALLAST,NPF,120/60 (1) CFT13W/GX23, CFQ13W/GX23 ",60,, $ -   ,,,Preheat ,Series,,1,  1 ,,,,,,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013B1RCWT,013B1RCWT,013B1RCWT,NA,configurable,4, Both ,"1M10546, 3M10546, 5M10546",,,,,,2,Discontinued,2,Limited,Leaded,Magnetic,"Fluorescent mBallast for 1 CFT or CFQ13W/GX23 CFL Lamp, Preheat Start, 120Vac, 60Hz, Normal Ballast Factor, NPF",60,$159.95, $ -   ,,,Preheat ,Series,,1,  1 , CFL , Yes , No ,  -   , Single ,120,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
